,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
19,Wei Wei (魏维),Mobile edge intelligence for large language models: A contemporary survey,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,The university of Hong Kong,22.28269745,114.13845499995571,,Hong Kong Island,Hong Kong,China
20,Daniel Kluver,The MovieLens Beliefs Dataset: Collecting Pre-Choice Data for Online Recommender Systems,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Minnesota,44.9863392,-93.17945580218503,Ramsey County,Saint Paul,Minnesota,United States
21,Xiaokun Fang,Enabling Window-Based Monotonic Graph Analytics with Reusable Transitional Results for Pattern-Consistent Queries,CommonGraph: Graph Analytics on Evolving Data,Renmin University of China,39.9695397,116.30712905005895,,Haidian District,Beijing,China
22,Xiaohui Xie,"Efficient Inference, Training, and Fine-tuning of Protein Language Models",Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Irvine,33.6856969,-117.825981,Orange County,Irvine,California,United States
23,Zhichao Wang,StreamVoice+: Evolving into End-to-end Streaming Zero-shot Voice Conversion,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Northwestern Polytechnical University,34.2469224,108.91062353292654,,Beilin District,Shaanxi,China
24,Zakieh Alizadehsani,Transformers in source code generation: A comprehensive survey,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Salamanca,40.9651572,-5.6640182,,Salamanca,Castile and León,Spain
25,Xiaohui Xie,"Efficient Inference, Training, and Fine-tuning of Protein Language Models",Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
26,Feng Zhang,Enabling Window-Based Monotonic Graph Analytics with Reusable Transitional Results for Pattern-Consistent Queries,CommonGraph: Graph Analytics on Evolving Data,Renmin University of China,39.9695397,116.30712905005895,,Haidian District,Beijing,China
27,Md Yousuf Harun,Overcoming the stability gap in continual learning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Rochester Institute of Technology,43.0826701,-77.67293215211362,Monroe County,City of Rochester,New York,United States
28,Chris Jermaine,Prompt Tuning Strikes Back: Customizing Foundation Models with Low-Rank Prompt Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Rice University,29.716791450000002,-95.40478113393792,Harris County,Houston,Texas,United States
29,Xizhe Yin,Taming Misaligned Graph Traversals in Concurrent Graph Processing,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
30,Zhijia Zhao,Core Graph: Exploiting edge centrality to speedup the evaluation of iterative graph queries,CommonGraph: Graph Analytics on Evolving Data,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
31,Zexin Li,: On-Device Real-Time Deep Reinforcement Learning for Autonomous Robotics,CommonGraph: Graph Analytics on Evolving Data,"University of California, Riverside",33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
32,Zhiyu Xue,Communication-Efficient and Tensorized Federated Fine-Tuning of Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Santa Barbara,34.4221319,-119.702667,Santa Barbara County,Santa Barbara,California,United States
33,Jiangfei Duan,Efficient Training of Large Language Models on Distributed Infrastructures: A Survey,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,The Chinese University of Hong Kong,22.4201838,114.20791453524086,,Sha Tin District,Hong Kong,China
34,Hossein Abdi,LoKO: Low-Rank Kalman Optimizer for Online Fine-Tuning of Large Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Manchester,53.466022550000005,-2.2330858190427176,,Manchester,England,United Kingdom
35,Ruihao Gong (龚睿昊),"A Survey of Low-bit Large Language Models: Basics, Systems, and Algorithms",Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Beihang University,39.9809427,116.34097867654876,,Haidian District,Beijing,China
36,Xiaojun Dong,BYO: A Unified Framework for Benchmarking Large-Scale Graph Containers,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
37,Peiyang Song,In-context learning may not elicit trustworthy reasoning: A-not-b errors in pretrained language models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,California Institute of Technology,34.13701375,-118.12528833668254,Los Angeles County,Pasadena,California,United States
38,Chidaksh Ravuru,Agentic Retrieval-Augmented Generation for Time Series Analysis,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,"University of North Carolina, Chapel Hill",35.90503535,-79.04775326525107,Orange County,Chapel Hill,North Carolina,United States
39,Lang Yu,PI-Fed: Continual Federated Learning With Parameter-Level Importance Aggregation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,East China Normal University,31.2284923,121.40211388976886,,Putuo District,Shanghai,China
40,Cao (Danica) Xiao,BIPEFT: Budget-Guided Iterative Search for Parameter Efficient Fine-Tuning of Large Pretrained Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,GE Healthcare,48.7672864,2.1252168887432394,Yvelines,,Ile-de-France,France
41,Sajjad Ghiasvand,Communication-Efficient and Tensorized Federated Fine-Tuning of Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,UCSB,34.414602450000004,-119.84581004701371,Santa Barbara County,,California,United States
42,Yufei Li,Mimonet: Multi-input multi-output on-device deep learning,Dlora: Distributed parameter-efficient fine-tuning solution for large language model,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
43,Mahbod Afarin,Mega evolving graph accelerator,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
44,Zheng Lin,Mobile edge intelligence for large language models: A contemporary survey,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Institute of Information Engineering,18.5837559,73.7363713,Mulshi,,Maharashtra,India
45,Adrian Paschke,Relation Extraction with Fine-Tuned Large Language Models in Retrieval Augmented Generation Frameworks,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Computer Science,40.80899825,-73.95987847188215,New York County,New York,New York,United States
46,Weilin Cai,A survey on mixture of experts,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Technology (Guangzhou),22.89161275,113.47901891759449,,Nansha District,Guangdong Province,China
47,Trung Le,Revisiting Prefix-tuning: Statistical Benefits of Reparameterization among Prompts,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Faculty of Information Technology,-37.91078265,145.13386548602148,,Melbourne,Victoria,Australia
48,Jiawei Chen,Efficiency in Focus: LayerNorm as a Catalyst for Fine-tuning Medical Visual Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
49,Mahbod Afarin,Expressway: Prioritizing Edges for Distributed Evaluation of Graph Queries,CommonGraph: Graph Analytics on Evolving Data,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
50,Nael Abu-Ghazaleh,Core Graph: Exploiting edge centrality to speedup the evaluation of iterative graph queries,MEGA Evolving Graph Accelerator,"University of California, Riverside",33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
51,Sefika Efeoglu,Relation Extraction with Fine-Tuned Large Language Models in Retrieval Augmented Generation Frameworks,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Technische Universität Berlin,52.51101585,13.326954140959668,,Berlin,,Germany
52,Nael Abu-Ghazaleh,Core Graph: Exploiting edge centrality to speedup the evaluation of iterative graph queries,CommonGraph: Graph Analytics on Evolving Data,"University of California, Riverside",33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
53,Guanyu Feng,Enabling Window-Based Monotonic Graph Analytics with Reusable Transitional Results for Pattern-Consistent Queries,CommonGraph: Graph Analytics on Evolving Data,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
54,Rui Liu,Federated Knowledge Transfer Fine-tuning Large Server Model with Resource-Constrained IoT Clients,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
55,Tuo Zhao,Roselora: Row and column-wise sparse low-rank adaptation of pre-trained language model for knowledge editing and fine-tuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Georgia Tech,33.776094799999996,-84.3988076699857,Fulton County,Atlanta,Georgia,United States
56,Venkataramana Runkana,Agentic Retrieval-Augmented Generation for Time Series Analysis,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Tata Consultancy Services,22.571342450000003,88.43693619015504,Bidhannagar,,West Bengal,India
57,David Cox, Trans-LoRA: Towards Data-Free Transferable Parameter Efficient Finetuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,AI Models,30.7976175,30.9966383,,,,Egypt
58,Jiahao Wang (王家豪),Mixture-of-Subspaces in Low-Rank Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,The University of HongKong,22.4201838,114.20791453524086,,Sha Tin District,Hong Kong,China
59,Hanjiang Luo,Integration of llms and the physical world: Research and application,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Technology,-0.2912908,36.0353719,Nakuru West,Kapkures ward,Nakuru,Kenya
60,Thomas Reps,Prompt Tuning Strikes Back: Customizing Foundation Models with Low-Rank Prompt Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,CS Dept.,8.5062598,76.9315479,Thiruvananthapuram,Thiruvananthapuram,Kerala,India
61,Yuan Wu,BA-LoRA: Bias-Alleviating Low-Rank Adaptation to Mitigate Catastrophic Inheritance in Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Carleton,46.3940835,-67.491134,Peel Parish,,New Brunswick,Canada
62,Shuai Wang,API-guided Dataset Synthesis to Finetune Large Code Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Technology,-0.2912908,36.0353719,Nakuru West,Kapkures ward,Nakuru,Kenya
63,Georgios Theodorakis, Aion: Efficient Temporal Graph Data Management.,CommonGraph: Graph Analytics on Evolving Data,Imperial College London,51.4989595,-0.17564069276310426,,London,England,United Kingdom
64,Wael Jaafar,XLM for Autonomous Driving Systems: A Comprehensive Review,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Software,32.9686883,-96.7183113,Dallas County,Richardson,Texas,United States
65,Daoyuan Wu,API-guided Dataset Synthesis to Finetune Large Code Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,SMU,1.29616795,103.85004365998248,,Singapore,,Singapore
66,Chengying Huan,TEA+: A Novel Temporal Graph Random Walk Engine with Hybrid Storage Architecture,CommonGraph: Graph Analytics on Evolving Data,Chinese Academy of Sciences,39.90933665,116.32971461228999,,Beijing,Beijing,China
67,An-sheng Lee,MAX: Masked Autoencoder for X-ray Fluorescence in Geological Investigation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Mackay Medical College,25.253669199999997,121.49519401422177,,New Taipei,,Taiwan
68,Chengying Huan,TEA+: A Novel Temporal Graph Random Walk Engine with Hybrid Storage Architecture,CommonGraph: Graph Analytics on Evolving Data,Institute of Software,-1.037111,37.0763549,Thika Town,Thika Township ward,Kiambu,Kenya
69,Xu-Yao Zhang,ModalPrompt: Dual-Modality Guided Prompt for Continual Learning of Large Multimodal Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Institute of Automation,54.1720834,12.0790983,,Rostock,Mecklenburg-Vorpommern,Germany
70,Daoyuan Wu,API-guided Dataset Synthesis to Finetune Large Code Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,PolyU,22.304486699999998,114.17969345847592,,Kowloon,Hong Kong,China
71,Zhengxuan Wu,Reft: Representation finetuning for language models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Stanford University,37.431313849999995,-122.16936535498309,Santa Clara County,,California,United States
72,Antonio Silletti,Reproducibility of LLM-based Recommender Systems: the Case Study of P5 Paradigm,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Bari,41.10948815,16.88168781593699,Bari,Bari,Apulia,Italy
73,Chao Wen,Program Synthesis Benchmark for Visual Programming in XLogoOnline Environment,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Max Planck Institute for Software Systems,49.25751745,7.046284234882176,Regionalverband Saarbrücken,Saarbrücken,Saarland,Germany
74,Ziheng Chen,Debiasing Machine Unlearning with Counterfactual Examples,Dlora: Distributed parameter-efficient fine-tuning solution for large language model,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
75,Aofei Chang,BIPEFT: Budget-Guided Iterative Search for Parameter Efficient Fine-Tuning of Large Pretrained Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Penn State,40.8025835,-77.85593833184565,Centre County,State College,Pennsylvania,United States
76,Yike  Guo,NoRA: Nested Low-Rank Adaptation for Efficient Fine-Tuning Large Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Dept of CSE,18.059806950000002,83.40479612816662,Denkada,,Andhra Pradesh,India
77,Zhong Ji,Parameter-Efficient Fine-Tuning for Continual Learning: A Neural Tangent Kernel Perspective,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,tianjin university,39.107253299999996,117.17789778037583,,Tianjin,Tianjin,China
78,Zakieh Alizadehsani,Transformers in source code generation: A comprehensive survey,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Spain.,39.3260685,-4.8379791,,,Extremadura,Spain
79,Amr Mohamed,Atlas-Chat: Adapting Large Language Models for Low-Resource Moroccan Arabic Dialect,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Qatar University,25.3719714,51.48795786318291,,Doha,,Qatar
80,Nurlan Nazaraliyev,GPUVM: GPU-driven Unified Virtual Memory,CommonGraph: Graph Analytics on Evolving Data,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
81,Xiaojie Wang,Controlled Low-Rank Adaptation with Subspace Regularization for Continued Training on Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Telecommunications,34.0853599,-118.31947947501324,Los Angeles County,Los Angeles,California,United States
82,Hsuan-Tien Lin,MAX: Masked Autoencoder for X-ray Fluorescence in Geological Investigation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,National Taiwan University,25.016817500000002,121.53845709079619,,Taipei,,Taiwan
83,Chengying Huan,TeGraph+: Scalable Temporal Graph Processing Enabling Flexible Edge Modifications,CommonGraph: Graph Analytics on Evolving Data,Chinese Academy of Sciences,39.90933665,116.32971461228999,,Beijing,Beijing,China
84,Duarte Gonçalves,The MovieLens Beliefs Dataset: Collecting Pre-Choice Data for Online Recommender Systems,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University College London,51.52420305,-0.13300072425929543,,London,England,United Kingdom
85,Yufei Li,Mimonet: Multi-input multi-output on-device deep learning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
86,Ryumei Nakada,NEAT: Nonlinear Parameter-efficient Adaptation of Pre-trained Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Rutgers University,40.492977800000006,-74.44510808059266,Middlesex County,New Brunswick,New Jersey,United States
87,Ali Braytee,Fine-Tuning LLMs for Reliable Medical Question-Answering Services,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Technology Sydney,-33.88325365,151.20032937174193,,Sydney,New South Wales,Australia
88,Nina Tahmasebi,Automatically Generated Definitions and their utility for Modeling Word Meaning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Gothenburg,57.69854645,11.971242155543006,Västra Götaland County,Gothenburg,,Sweden
89,Cong Liu,Mimonet: Multi-input multi-output on-device deep learning,CommonGraph: Graph Analytics on Evolving Data,University of California Riverside,33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
90,David Alfter,Automatically Generated Definitions and their utility for Modeling Word Meaning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Gothenburg,57.69854645,11.971242155543006,Västra Götaland County,Gothenburg,,Sweden
91,Thomas Reps,Prompt Tuning Strikes Back: Customizing Foundation Models with Low-Rank Prompt Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Univ. of Wisconsin,43.2102524,-90.2957691,Richland County,,Wisconsin,United States
92,Peiyang Song,In-context learning may not elicit trustworthy reasoning: A-not-b errors in pretrained language models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Stanford University,37.431313849999995,-122.16936535498309,Santa Clara County,,California,United States
93,Holger Hermanns,AI Act for the Working Programmer,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Saarland Informatics Campus,49.2569205,7.041952658755758,Regionalverband Saarbrücken,Saarbrücken,Saarland,Germany
94,Runqian Wang,: towards data-free Transferable Parameter Efficient Finetuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Massachusetts Institute of Technology,42.3582529,-71.0966272383055,Middlesex County,Cambridge,Massachusetts,United States
95,Zakieh Alizadehsani,Transformers in source code generation: A comprehensive survey,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Salamanca,40.96214545,-5.66905879509083,,Salamanca,Castile and León,Spain
96,Kehan Pang,Efficient Mixture of Experts based on Large Language Models for Low-Resource Data Preprocessing,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Beihang University,39.9809427,116.34097867654876,,Haidian District,Beijing,China
97,Linxi YU,LoRA-GA: Low-Rank Adaptation with Gradient Approximation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Tsinghua,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
98,Tianci Liu,Towards efficient heterogeneous multi-modal federated learning with hierarchical knowledge disentanglement,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Purdue University,40.430028,-86.92642114650494,Tippecanoe County,West Lafayette,Indiana,United States
99,Zhengrong Wang,Affinity Alloc: Taming Not-So Near-Data Computing,CommonGraph: Graph Analytics on Evolving Data,UCLA,34.070877749999994,-118.44685031405575,Los Angeles County,Los Angeles,California,United States
100,Wenxuan Liu,Hq-dit: Efficient diffusion transformer with fp4 hybrid quantization,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,New York University student,43.13459345,-79.03240970073506,Niagara County,,New York,United States
101,Trung Le,Revisiting Prefix-tuning: Statistical Benefits of Reparameterization among Prompts,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Monash University,-37.783974549999996,144.95867432609305,,Melbourne,Victoria,Australia
102,Zexin Li,Mimonet: Multi-input multi-output on-device deep learning,CommonGraph: Graph Analytics on Evolving Data,"University of California, Riverside",33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
103,Cong Liu,Mimonet: Multi-input multi-output on-device deep learning,Dlora: Distributed parameter-efficient fine-tuning solution for large language model,University of California Riverside,33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
104,Omar Galal,Team_Zero at StanceEval2024: Frozen PLMs for Arabic Stance Detection,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Faculty of Engineering,50.1292524,14.373634754863176,,Capital City of Prague,Prague,Czechia
105,Sichun Luo,Privacy in LLM-based Recommendation: Recent Advances and Future Directions,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,City University of Hong Kong,22.3400204,114.16971664362887,,Kowloon,Hong Kong,China
106,Runxin Xu,Let the Expert Stick to His Last: Expert-Specialized Fine-Tuning for Sparse Architectural Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Peking University,40.17336535,116.15722001868669,,Changping District,Beijing,China
107,Xizhe Yin,Taming Misaligned Graph Traversals in Concurrent Graph Processing,CommonGraph: Graph Analytics on Evolving Data,"University of California, Riverside",33.9642567,-117.3397858271953,Riverside County,Riverside,California,United States
108,Wei Yang,Mimonet: Multi-input multi-output on-device deep learning,Dlora: Distributed parameter-efficient fine-tuning solution for large language model,Dallas,32.7762719,-96.7968559,Dallas County,Dallas,Texas,United States
109,Jian Xu,Privacy in LLM-based Recommendation: Recent Advances and Future Directions,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
110,Taiqiang Wu,LLM-Neo: Parameter Efficient Knowledge Distillation for Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,The University of Hong Kong,22.28269745,114.13845499995571,,Hong Kong Island,Hong Kong,China
111,Jian Li,LoRA-GA: Low-Rank Adaptation with Gradient Approximation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
112,Marco Polignano,Reproducibility of LLM-based Recommender Systems: the Case Study of P5 Paradigm,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of Bari 'Aldo Moro',41.10948815,16.88168781593699,Bari,Bari,Apulia,Italy
113,Okba Kazar,Generative artificial intelligence in education: Advancing adaptive and personalized learning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,UAE,24.0002488,53.9994829,Al Dhafrah Region,,Abu Dhabi Emirate,United Arab Emirates
114,Mahnoosh Alizadeh,Communication-Efficient and Tensorized Federated Fine-Tuning of Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Computer Engineering,35.64977625,-78.7043699462109,Wake County,Raleigh,North Carolina,United States
115,Chidaksh Ravuru,Agentic Retrieval-Augmented Generation for Time Series Analysis,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,University of North Carolina,35.90503535,-79.04775326525107,Orange County,Chapel Hill,North Carolina,United States
116,Jingyi Li,Pluto and Charon: A Time and Memory Efficient Collaborative Edge AI Framework for Personal LLMs Fine-tuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Sun Yat-sen University,23.09960335,113.29235087324346,,Haizhu District,Guangdong Province,China
117,Liang Song,Networking Systems for Video Anomaly Detection: A Tutorial and Survey,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
118,Minh Le,Revisiting Prefix-tuning: Statistical Benefits of Reparameterization among Prompts,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,National University of Singapore,1.2962018,103.77689765953073,,Singapore,,Singapore
119,Shuohuan Wang,HFT: Half Fine-Tuning for Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Baidu,24.4978707,116.1954842,,Meizhou,Guangdong Province,China
120,Adrian Paschke,Relation Extraction with Fine-Tuned Large Language Models in Retrieval Augmented Generation Frameworks,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Freie Universitaet Berlin,52.45285645,13.290724942928117,,Berlin,,Germany
